employee_id,department,salary,years_experience,performance_rating,training_hours,remote_work_days,education_level,age,job_satisfaction
467,HR,88101,1,3.3,27,3,Bachelor,41,5.0
468,Sales,102376,4,3.1,25,3,Master,22,3.7
469,Sales,67540,2,4.1,12,3,Bachelor,35,3.2
470,Finance,55700,4,3.3,21,4,Master,29,4.5
471,Engineering,79651,4,3.3,20,4,Master,34,4.6
472,Engineering,83002,4,4.4,16,3,High School,28,3.5
473,Engineering,61502,0,4.3,12,0,Bachelor,31,5.0
474,Sales,55043,0,4.6,22,3,Master,22,2.7
475,Engineering,105155,12,4.7,25,3,Bachelor,41,3.2
476,Engineering,58985,4,4.8,17,0,Bachelor,26,4.0
477,Finance,100475,5,4.7,19,2,Master,22,4.1
478,Finance,100507,0,4.2,18,0,PhD,23,4.9
479,Marketing,117068,1,4.6,12,1,Bachelor,30,3.6
480,Engineering,128645,13,3.3,20,4,Bachelor,29,2.9
481,HR,44432,0,4.7,20,3,Bachelor,26,3.7
482,Engineering,50406,3,3.7,19,3,Bachelor,22,2.7
483,Engineering,112660,0,4.9,26,5,Master,34,4.0
484,Engineering,99229,1,5.0,18,3,Master,37,3.1
485,Engineering,107867,7,3.2,18,4,Master,37,4.5
486,Finance,94411,2,4.9,30,2,Master,28,2.3
487,Finance,108686,4,4.9,26,1,Bachelor,35,1.5
488,Engineering,80693,0,4.3,17,3,PhD,33,3.5
489,Marketing,42242,1,4.6,24,4,High School,36,5.0
490,Marketing,74513,0,3.7,16,1,PhD,26,4.0
491,Engineering,102939,6,4.4,21,2,Bachelor,22,4.4
492,HR,90103,4,5.0,19,2,Master,22,3.9
493,Finance,73450,0,4.3,22,4,Bachelor,31,3.1
494,Sales,116601,1,5.0,22,0,Bachelor,39,4.1
495,HR,56213,0,4.4,18,4,Bachelor,31,3.8
496,Finance,87805,2,4.1,21,2,Bachelor,36,3.6
497,Sales,79515,6,4.2,22,2,Bachelor,34,1.9
498,Marketing,74600,10,5.0,24,3,Master,40,3.6
499,Marketing,112301,1,2.4,25,2,Master,23,3.5
500,Finance,70527,5,3.1,23,4,Bachelor,23,4.4
